#AP, x coordinate (-1 = unknown), y coordinate (-1 = unknown), z coordinate (floor, 99 = unknown)
AdmBldg12AP2,819381.142,439458.4999,0
AdmBldg12AP3,-1,-1,99
AdmBldg12AP4,-1,-1,99
AdmBldg12AP5,819468.7304,439428.6172,3
AdmBldg12AP6,819462.6164,439454.6985,0
AdmBldg12AP7,819376.6708,439449.1584,3
AdmBldg13AP1,-1,-1,99
AdmBldg13AP2,-1,-1,99
AdmBldg13AP3,-1,-1,99
AdmBldg13AP4,-1,-1,99
AdmBldg14AP1,820099.1426,440587.6826,1
AdmBldg14AP2,820073.9268,440536.1138,2
AdmBldg15AP1,-1,-1,99
AdmBldg16AP1,819728.6452,439993.9764,0
AdmBldg17AP1,-1,-1,99
AdmBldg18AP1,820177.111,438279.3297,2
AdmBldg19AP1,819412.1619,439720.1772,1
AdmBldg19AP2,819361.7871,439677.6016,0
AdmBldg19AP3,819412.4139,439716.9306,3
AdmBldg1AP1,820304.5918,438558.7637,2
AdmBldg1AP2,820187.3197,438582.1228,2
AdmBldg20AP1,-1,-1,99
AdmBldg20AP2,-1,-1,99
AdmBldg20AP3,820428.1963,438734.9367,1
AdmBldg22AP1,820182.5041,439463.1491,1
AdmBldg22AP2,820176.2688,439476.123,3
AdmBldg23AP1,821261.1083,441330.4734,1
AdmBldg24AP1,819102.8832,439251.0833,3
AdmBldg24AP2,819129.2693,439341.8448,2
AdmBldg25AP1,819234.9264,438602.2353,2
AdmBldg26AP1,820393.5718,441245.2114,2
AdmBldg26AP2,820342.2484,441226.3389,4
AdmBldg26AP3,820339.2457,441274.3514,2
AdmBldg26AP4,820396.3507,441243.6226,4
AdmBldg26AP5,820339.6655,441276.1484,4
AdmBldg27AP1,819867.8585,438252.1985,3
AdmBldg27AP2,819813.4265,438208.6741,2
AdmBldg27AP3,819845.3367,438149.4549,3
AdmBldg28AP1,820479.4972,441262.3462,0
AdmBldg28AP2,820402.7538,441157.6028,2
AdmBldg28AP3,820439.3989,441228.5417,4
AdmBldg28AP4,820439.1799,441231.2242,1
AdmBldg28AP5,820441.1467,441230.0677,2
AdmBldg28AP6,820439.7906,441228.8912,3
AdmBldg28AP7,820400.0807,441164.9154,0
AdmBldg28AP8,820398.9842,441159.8421,4
AdmBldg29AP1,820311.897,441303.7374,1
AdmBldg29AP2,820299.8083,441295.6294,3
AdmBldg30AP1,-1,-1,99
AdmBldg30AP2,-1,-1,99
AdmBldg3AP1,-1,-1,99
AdmBldg4AP1,820057.5044,440217.5588,3
AdmBldg4AP2,820018.3796,440286.4054,1
AdmBldg4AP3,820065.0832,440254.3338,1
AdmBldg5AP1,819455.8548,439280.0743,4
AdmBldg5AP2,819389.7826,439278.9695,4
AdmBldg5AP3,819431.6247,439267.9971,0
AdmBldg6AP1,820256.221,441210.0168,1
AdmBldg6AP2,820246.8654,441193.7952,3
AdmBldg6AP3,820254.5652,441217.6641,0
AdmBldg6AP4,820219.5349,441150.5065,3
AdmBldg6AP5,-1,-1,99
AdmBldg6AP6,820212.2075,441151.5646,1
AdmBldg7AP1,819416.0335,438071.2128,3
AdmBldg7AP2,-1,-1,99
AdmBldg7AP3,-1,-1,99
AdmBldg7AP4,819450.6876,438056.5723,2
AdmBldg7AP5,819395.5023,438071.0325,2
AdmBldg7AP6,819400.5833,438108.3389,3
AdmBldg8AP1,820028.6692,441025.4685,3
AdmBldg8AP2,820166.3593,441063.0582,2
AdmBldg8AP3,820070.3681,440977.4321,1
AdmBldg9AP1,-1,-1,99
AdmBldg9AP2,-1,-1,99
AdmBldg9AP3,-1,-1,99
AdmBldg9AP4,-1,-1,99
