Date,Hour,Floor,User-Group,User-Count,WiFi-Conn
2020-06-01,06,1,Non-HKUST,0,0
2020-06-01,06,1,Others(HKUST),1,2
2020-06-01,06,1,RPG,0,0
2020-06-01,06,1,Staff,4,9
2020-06-01,06,1,TPG,0,0
2020-06-01,06,1,Total,5,11
2020-06-01,06,1,UG,0,0
2020-06-01,06,All-Floors,Alumni,0,0
2020-06-01,06,All-Floors,Non-HKUST,0,0
2020-06-01,06,All-Floors,Others(HKUST),4,15
2020-06-01,06,All-Floors,RPG,0,0
2020-06-01,06,All-Floors,Staff,6,13
2020-06-01,06,All-Floors,TPG,0,0
2020-06-01,06,All-Floors,Total,11,29
2020-06-01,06,All-Floors,UG,1,1
2020-06-01,06,G,Alumni,0,0
2020-06-01,06,G,Non-HKUST,0,0
2020-06-01,06,G,Others(HKUST),1,2
2020-06-01,06,G,RPG,0,0
2020-06-01,06,G,Staff,2,4
2020-06-01,06,G,TPG,0,0
2020-06-01,06,G,Total,3,6
2020-06-01,06,G,UG,0,0
2020-06-01,06,LG1,Alumni,0,0
2020-06-01,06,LG1,Non-HKUST,0,0
2020-06-01,06,LG1,Others(HKUST),2,9
2020-06-01,06,LG1,RPG,0,0
2020-06-01,06,LG1,Staff,0,0
2020-06-01,06,LG1,TPG,0,0
2020-06-01,06,LG1,Total,2,9
2020-06-01,06,LG1,UG,0,0
2020-06-01,06,LG3,Alumni,0,0
2020-06-01,06,LG3,Non-HKUST,0,0
2020-06-01,06,LG3,Others(HKUST),0,0
2020-06-01,06,LG3,RPG,0,0
2020-06-01,06,LG3,Staff,0,0
2020-06-01,06,LG3,TPG,0,0
2020-06-01,06,LG3,Total,0,0
2020-06-01,06,LG3,UG,0,0
2020-06-01,06,LG4,Alumni,0,0
2020-06-01,06,LG4,Non-HKUST,0,0
2020-06-01,06,LG4,Others(HKUST),1,2
2020-06-01,06,LG4,RPG,0,0
2020-06-01,06,LG4,Staff,0,0
2020-06-01,06,LG4,TPG,0,0
2020-06-01,06,LG4,Total,2,3
2020-06-01,06,LG4,UG,1,1
2020-06-01,07,1,Alumni,0,0
2020-06-01,07,1,Non-HKUST,0,0
2020-06-01,07,1,Others(HKUST),1,2
2020-06-01,07,1,RPG,0,0
2020-06-01,07,1,Staff,10,23
2020-06-01,07,1,TPG,0,0
2020-06-01,07,1,Total,11,25
2020-06-01,07,1,UG,0,0
2020-06-01,07,All-Floors,Alumni,0,0
2020-06-01,07,All-Floors,Non-HKUST,0,0
2020-06-01,07,All-Floors,Others(HKUST),3,14
2020-06-01,07,All-Floors,RPG,1,1
2020-06-01,07,All-Floors,Staff,19,49
2020-06-01,07,All-Floors,TPG,0,0
2020-06-01,07,All-Floors,Total,25,66
2020-06-01,07,All-Floors,UG,2,2
2020-06-01,07,G,Alumni,0,0
2020-06-01,07,G,Non-HKUST,0,0
2020-06-01,07,G,Others(HKUST),1,2
2020-06-01,07,G,RPG,0,0
2020-06-01,07,G,Staff,6,12
2020-06-01,07,G,TPG,0,0
2020-06-01,07,G,Total,7,14
2020-06-01,07,G,UG,0,0
2020-06-01,07,LG1,Alumni,0,0
2020-06-01,07,LG1,Non-HKUST,0,0
2020-06-01,07,LG1,Others(HKUST),1,8
2020-06-01,07,LG1,RPG,0,0
2020-06-01,07,LG1,Staff,2,3
2020-06-01,07,LG1,TPG,0,0
2020-06-01,07,LG1,Total,3,11
2020-06-01,07,LG1,UG,0,0
2020-06-01,07,LG3,Alumni,0,0
2020-06-01,07,LG3,Non-HKUST,0,0
2020-06-01,07,LG3,Others(HKUST),0,0
2020-06-01,07,LG3,RPG,1,1
2020-06-01,07,LG3,Staff,8,8
2020-06-01,07,LG3,TPG,0,0
2020-06-01,07,LG3,Total,10,10
2020-06-01,07,LG3,UG,1,1
2020-06-01,07,LG4,Alumni,0,0
2020-06-01,07,LG4,Non-HKUST,0,0
2020-06-01,07,LG4,Others(HKUST),1,2
2020-06-01,07,LG4,RPG,0,0
2020-06-01,07,LG4,Staff,3,3
2020-06-01,07,LG4,TPG,0,0
2020-06-01,07,LG4,Total,5,6
2020-06-01,07,LG4,UG,1,1
2020-06-01,08,1,Alumni,0,0
2020-06-01,08,1,Non-HKUST,0,0
2020-06-01,08,1,Others(HKUST),1,2
2020-06-01,08,1,RPG,3,12
2020-06-01,08,1,Staff,29,84
2020-06-01,08,1,TPG,0,0
2020-06-01,08,1,Total,34,102
2020-06-01,08,1,UG,1,4
2020-06-01,08,All-Floors,Alumni,2,6
2020-06-01,08,All-Floors,Non-HKUST,0,0
2020-06-01,08,All-Floors,Others(HKUST),4,16
2020-06-01,08,All-Floors,RPG,8,37
2020-06-01,08,All-Floors,Staff,76,228
2020-06-01,08,All-Floors,TPG,5,20
2020-06-01,08,All-Floors,Total,127,471
2020-06-01,08,All-Floors,UG,32,164
2020-06-01,08,G,Alumni,1,1
2020-06-01,08,G,Non-HKUST,0,0
2020-06-01,08,G,Others(HKUST),1,2
2020-06-01,08,G,RPG,5,7
2020-06-01,08,G,Staff,36,80
2020-06-01,08,G,TPG,3,7
2020-06-01,08,G,Total,64,128
2020-06-01,08,G,UG,18,31
2020-06-01,08,LG1,Alumni,0,0
2020-06-01,08,LG1,Non-HKUST,0,0
2020-06-01,08,LG1,Others(HKUST),1,8
2020-06-01,08,LG1,RPG,2,13
2020-06-01,08,LG1,Staff,11,33
2020-06-01,08,LG1,TPG,3,13
2020-06-01,08,LG1,Total,36,158
2020-06-01,08,LG1,UG,19,91
2020-06-01,08,LG3,Alumni,1,2
2020-06-01,08,LG3,Non-HKUST,0,0
2020-06-01,08,LG3,Others(HKUST),1,1
2020-06-01,08,LG3,RPG,2,5
2020-06-01,08,LG3,Staff,13,13
2020-06-01,08,LG3,TPG,0,0
2020-06-01,08,LG3,Total,20,38
2020-06-01,08,LG3,UG,3,17
2020-06-01,08,LG4,Alumni,1,3
2020-06-01,08,LG4,Non-HKUST,0,0
2020-06-01,08,LG4,Others(HKUST),2,3
2020-06-01,08,LG4,RPG,0,0
2020-06-01,08,LG4,Staff,10,18
2020-06-01,08,LG4,TPG,0,0
2020-06-01,08,LG4,Total,16,45
2020-06-01,08,LG4,UG,3,21
2020-06-01,09,1,Alumni,0,0
2020-06-01,09,1,Non-HKUST,0,0
2020-06-01,09,1,Others(HKUST),3,5
2020-06-01,09,1,RPG,4,18
2020-06-01,09,1,Staff,43,127
2020-06-01,09,1,TPG,4,14
2020-06-01,09,1,Total,59,190
2020-06-01,09,1,UG,5,26
2020-06-01,09,All-Floors,Alumni,4,18
2020-06-01,09,All-Floors,Non-HKUST,1,3
2020-06-01,09,All-Floors,Others(HKUST),7,24
2020-06-01,09,All-Floors,RPG,16,69
2020-06-01,09,All-Floors,Staff,87,365
2020-06-01,09,All-Floors,TPG,28,133
2020-06-01,09,All-Floors,Total,196,902
2020-06-01,09,All-Floors,UG,53,290
2020-06-01,09,G,Alumni,1,9
2020-06-01,09,G,Non-HKUST,0,0
2020-06-01,09,G,Others(HKUST),2,4
2020-06-01,09,G,RPG,4,9
2020-06-01,09,G,Staff,45,115
2020-06-01,09,G,TPG,11,37
2020-06-01,09,G,Total,81,223
2020-06-01,09,G,UG,18,49
2020-06-01,09,LG1,Alumni,0,0
2020-06-01,09,LG1,Non-HKUST,0,0
2020-06-01,09,LG1,Others(HKUST),2,11
2020-06-01,09,LG1,RPG,6,29
2020-06-01,09,LG1,Staff,19,76
2020-06-01,09,LG1,TPG,7,39
2020-06-01,09,LG1,Total,64,294
2020-06-01,09,LG1,UG,30,139
2020-06-01,09,LG3,Alumni,1,2
2020-06-01,09,LG3,Non-HKUST,0,0
2020-06-01,09,LG3,Others(HKUST),1,1
2020-06-01,09,LG3,RPG,1,6
